-ford,浅瀬,アサセ
mezzanine,二階さじき,ニカイサジキ
mezzo-soprano,メゾソプラノ,メゾソプラノ
mezzo-soprano,次高音,ジタカネ
mezzo-soprano,メゾソプラノ歌手,メゾソプラノカシュ
mezzotint,メゾチント彫刻,メゾチントチョウコク
mezzotint,メゾチント版,メゾチントバン
mi,ミ,ミ
Miami,マイアミ,マイアミ
miasma,毒気,ドクケ
miasma,悪影響,アクエイキョウ
mica,雲母,ウンモ
mica,きらら,キララ
Michael,天使長ミカエル,テンシチョウミカエル
Michaelmas,ミカエル祭,ミカエルサイ
Michelangelo,ミケランジェロ,ミケランジェロ
Michigan,ミシガン州,ミシガンシュウ
Michigan,ミシガン湖,ミシガンコ
mick,アイルランド人,アイルランドジン
microbe,微生物,ビセイブツ
microbe,細菌,サイキン
microbiologist,微生物学者,ビセイブツガクシャ
microbiology,微生物学,ビセイブツガク
microbiology,細菌学,サイキンガク
microclimate,微気候,ビキコウ
microcosm,小宇宙,ショウウチュウ
microcosm,小世界,ショウセカイ
microcosm,縮図,シュクズ
microelectronics,マイクロ電子工学,マイクロデンシコウガク
microfiche,マイクロフィッシュ,マイクロフィッシュ
microform,縮小写真印刷,シュクショウシャシンインサツ
microgram,マイクログラム,マイクログラム
micrograph,顕微鏡図,ケンビキョウズ
micrograph,顕微鏡写真,ケンビキョウシャシン
micrometer,マイクロメーター,マイクロメーター
microminiaturization,超小型化,チョウコガタカ
micron,ミクロン,ミクロン
Micronesian,ミクロネシア人,ミクロネシアジン
Micronesian,ミクロネシア語,ミクロネシアゴ
microorganism,微生物,ビセイブツ
microphone,マイクロフォン,マイクロフォン
microphone,拡声器,カクセイキ
microscope,顕微鏡,ケンビキョウ
microscopy,顕微鏡使用,ケンビキョウシヨウ
microsecond,マイクロ秒,マイクロビョウ
microstate,ミクロ国家,ミクロコッカ
microsurgery,顕微解剖,ケンビカイボウ
microsurgery,顕微手術,ケンビシュジュツ
microwave,極超短波,ゴクチョウタンパ
microwave,マイクロウェーブ,マイクロウェーブ
mid-off,ミッドオフ,ミッドオフ
mid-on,ミッドオン,ミッドオン
midair,空中,クウチュウ
midair,上空,ジョウクウ
Midas,ミダス,ミダス
midcourse,中間軌道,チュウカンキドウ
midday,正午,ショウゴ
midday,真昼,マヒル
midden,貝塚,カイヅカ
middleclass,中流階級,チュウリュウカイキュウ
middleclass,中産階級,チュウサンカイキュウ
middleman,仲買人,ナカガイニン
middleman,仲介者,チュウカイシャ
middling,かなり,カナリ
midge,蚊,カ
midge,ブヨ,ブヨ
midget,ちび,チビ
midi,ミディスカート,ミディスカート
midland,内陸,ナイリク
midland,中部地方,チュウブチホウ
midland,英国中部地方,エイコクチュウブチホウ
midnight,真夜中,マヨナカ
midpoint,まん中,マンナカ
midrib,中肋,チュウアバラ
midrib,中脈,チュウミャク
midriff,横隔膜,オウカクマク
midriff,上胴部,ウエドウブ
midshipman,海軍兵学校生徒,カイグンヘイガッコウセイト
midshipman,海軍少尉候補生,カイグンショウイコウホセイ
midsummer,真夏,マナツ
midsummer,夏至,ゲシ
midterm,中間試験,チュウカンシケン
midway,余興場,ヨキョウジョウ
midwicket,ミッドウィッケット,ミッドウィッケット
midwife,助産婦,ジョサンプ
midwife,産婆,サンバ
midwifery,産婆術,サンバジュツ
midwifery,助産術,ジョサンジュツ
midwinter,真冬,マフユ
midwinter,冬至,トウジ
mien,態度,タイド
mien,物腰,モノゴシ
mien,様子,ヨウス
Mig,ミグ,ミグ
MIG,ミグ,ミグ
might,体力,タイリョク
might,腕力,ワンリョク
might,能力,ノウリョク
mightily,勢いよく,イキオイヨク
mighty,大した,タイシタ
mignonette,モクセイソウ,モクセイソウ
migraine,偏頭痛,ヘンズツウ
migrant,移住者,イジュウシャ
migrant,渡り鳥,ワタリドリ
migrate,〈鳥,〈トリ
migration,移住,イジュウ
migration,移動,イドウ
mikado,帝,ミカド
mil,ミル,ミル
milady,奥様,オクサマ
milady,夫人,フジン
Milan,ミラノ,ミラノ
mild,マイルド,マイルド
mile,マイル,マイル
mile,1マイル競走,1マイルキョウソウ
mile,多量,タリョウ
mile,たくさん,タクサン
mileage,総マイル数,ソウマイルスウ
mileage,自動車走行マイル数,ジドウシャソウコウマイルスウ
mileage,使用,シヨウ
mileage,利益,リエキ
mileometer,走行距離計,ソウコウキョリケイ
milometer,走行距離計,ソウコウキョリケイ
milepost,マイル標,マイルシルベ
milepost,里程標,リテイシルベ
miler,1マイル競走者,1マイルキョウソウシャ
milestone,里程標,リテイシルベ
milieu,環境,カンキョウ
milieu,周囲,シュウイ
militancy,交戦性,コウセンセイ
militancy,闘志,トウシ
militant,闘争家,トウソウカ
militarism,軍国主義,グンコクシュギ
militarist,軍国主義者,グンコクシュギシャ
militarist,軍事研究家,グンジケンキュウカ
militarize,〈国,〈クニ
militarise,〈国,〈クニ
military,軍隊,グンタイ
militate,〈証拠,〈ショウコ
militia,国民軍,コクミングン
militia,市民軍,シミングン
militiaman,国民兵,コクミンヘイ
militiaman,民兵,ミンペイ
milker,搾乳者,サクニュウシャ
milker,乳牛,ニュウギュウ
milkiness,乳状,ニュウジョウ
milkman,牛乳屋,ギュウニュウヤ
milkman,牛乳配達人,ギュウニュウハイタツジン
milkshake,ミルクセーキ,ミルクセーキ
milksop,弱虫,ヨワムシ
milkweed,トウワタ,トウワタ
mill,製粉所,セイフンショ
mill,製粉機,セイフンキ
mill,ひき器,ヒキキ
mill,製造所,セイゾウショ
mill,工場,コウジョウ
mill,〈穀物,〈コクモツ
mill,〈家畜,〈カチク
mill,ミル,ミル
millboard,ミルボード,ミルボード
millennium,1000年間,1000ネンカン
millennium,至福千年,シフクセンネン
millennium,黄金時代,オウゴンジダイ
miller,粉屋,コナヤ
miller,製粉業者,セイフンギョウシャ
miller,水車屋,スイシャヤ
millet,キビ,キビ
millet,アワ,アワ
millet,あわ,アワ
milliard,10億,10オク
millibar,ミリバール,ミリバール
milligram,ミリグラム,ミリグラム
milligramme,ミリグラム,ミリグラム
milliliter,ミリリットル,ミリリットル
millilitre,ミリリットル,ミリリットル
millimeter,ミリメートル,ミリメートル
millimetre,ミリメートル,ミリメートル
milliner,婦人帽子屋,フジンボウシヤ
millinery,服飾品,フクショクヒン
millinery,婦人帽製造販売業,フジンボウセイゾウハンバイギョウ
milling,製粉,セイフン
milling,ぎざぎざ,ギザギザ
million,100万,100マン
million,100万,100マン
million,多数,タスウ
million,たくさん,タクサン
millionaire,百万長者,ヒャクマンチョウジャ
millionaire,大金持ち,オオガネモチ
millionth,第100万,ダイ100マン
millionth,100万番目,100マンバンメ
millionth,100万分の1,100マンブンノ1
millipede,ヤスデ,ヤスデ
millepede,ヤスデ,ヤスデ
millisecond,ミリセカンド,ミリセカンド
millivolt,ミリボルト,ミリボルト
millpond,貯水池,チョスイチ
millpond,水車池,スイシャチ
millstone,重荷,オモニ
millwright,水車大工,スイシャダイク
milord,御前様,ゴゼンサマ
milord,だんな,ダンナ
milt,魚精,サカナセイ
milt,白子,シラコ
Milton,ミルトン,ミルトン
Milwaukee,ミルウォーキー,ミルウォーキー
mime,身ぶり道化役者,ミブリドウケヤクシャ
mime,道化芝居,ドウケシバイ
mimesis,模写,モシャ
mimesis,模倣,モホウ
mimic,〈人,〈ヒト
mimic,ものまね役者,モノマネヤクシャ
mimicry,ものまね,モノマネ
mimicry,模倣,モホウ
mimicry,擬態,ギタイ
mimosa,ミモザ,ミモザ
mimosa,オジギソウ,オジギソウ
mincemeat,ミンスミート,ミンスミート
mincer,ひき肉機,ヒキニクキ
mine,鉱山,コウザン
mine,鉱床,コウショウ
mine,宝庫,ホウコ
mine,坑道,コウドウ
mine,地雷,ジライ
mine,機雷,キライ
minefield,地雷敷設区域,ジライフセツクイキ
minelayer,水雷敷設艦,スイライフセツカン
miner,鉱夫,コウフ
miner,坑夫,コウフ
mineral,無機物,ムキブツ
mineral,鉱物,コウブツ
mineral,鉱石,コウセキ
mineral,炭酸水,タンサンスイ
mineral,清涼飲料,セイリョウインリョウ
mineralogist,鉱物学者,コウブツガクシャ
mineralogy,鉱物学,コウブツガク
Minerva,ミネルバ,ミネルバ
minestrone,ミネストローネ,ミネストローネ
minesweeper,掃海艇,ソウカイテイ
Ming,明,アキラ
Ming,明朝,ミョウチョウ
mini,ミニスカート,ミニスカート
mini,ミニカー,ミニカー
miniature,模型,モケイ
minibike,小型オートバイ,コガタオートバイ
minibus,小型バス,コガタバス
minim,ミニム,ミニム
minim,二分音符,ニブンオンプ
minimum,最小限,サイショウゲン
minimum,最小量,サイショウリョウ
minimum,極小,キョクショウ
minimum,最小値,サイショウチ
mining,採鉱,サイコウ
mining,鉱業,コウギョウ
minion,手先,テサキ
minion,取り巻き,トリマキ
minion,お気に入り,オキニイリ
miniseries,短期連続テレビドラマ,タンキレンゾクテレビドラマ
miniskirt,ミニスカート,ミニスカート
ministate,極小国家,キョクショウコッカ
ministrant,奉仕者,ホウシシャ
ministrant,世話人,セワニン
ministration,援助,エンジョ
ministration,奉仕,ホウシ
ministration,聖職,セイショク
ministry,聖職者,セイショクシャ
ministry,牧師,ボクシ
ministry,省,ショウ
ministry,内閣,ナイカク
ministry,閣僚たち,カクリョウタチ
miniver,ミニバー,ミニバー
mink,ミンク,ミンク
Minneapolis,ミネアポリス,ミネアポリス
minnesinger,吟遊詩人,ギンユウシジン
minnesinger,叙情詩人,ジョジョウシジン
Minnesota,ミネソタ州,ミネソタシュウ
minnow,小魚,ショウサカナ
minnow,ざこ,ザコ
Minoan,ミノス人,ミノスジン
minority,少数,ショウスウ
minority,半数以下,ハンスウイカ
minority,少数派,ショウスウハ
minority,少数グループ,ショウスウグループ
minority,少数民族,ショウスウミンゾク
minority,未成年,ミセイネン
minority,未成年期,ミセイネンキ
Minotaur,ミノタウロス,ミノタウロス
minster,大寺院,ダイジイン
minstrel,吟遊詩人,ギンユウシジン
mint,ハッカ,ハッカ
mint,造幣局,ゾウヘイキョク
mint,多額,タガク
mintage,化幣鋳造,カヌサチュウゾウ
mintage,貨幣鋳造費,カヘイチュウゾウヒ
minuend,被減数,ヒゲンスウ
minuet,メヌエット,メヌエット
minuet,メヌエット舞曲,メヌエットブキョク
minuscule,小文学,ショウブンガク
minuscule,小文学,ショウブンガク
minute,分,ブン
minute,分,ブン
minute,瞬間,シュンカン
minute,景事録,ケイゴトロク
minutia,細目,ホソメ
miracle,奇跡,キセキ
miracle,神わざ,カミワザ
miracle,驚異,キョウイ
mirage,蜃気楼,シンキロウ
mirage,幻影,ゲンエイ
mirage,幻覚,ゲンカク
mirage,妄想,モウソウ
mirage,幻想,ゲンソウ
mire,湿地,シッチ
mire,沼地,ヌマチ
mire,ぬかるみ,ヌカルミ
mire,〈車,〈クルマ
mirth,愉快,ユカイ
mise-en-scène,舞台装置,ブタイソウチ
mise-en-scène,状況,ジョウキョウ
misadventure,不運,フウン
misadventure,災難,サイナン
misanthropy,人間ぎらい,ニンゲンぎらい
misanthropy,人間不信,ニンゲンフシン
misapplication,誤用,ゴヨウ
misapplication,乱用,ランヨウ
misapprehension,誤解,ゴカイ
misapprehension,思い違い,オモイチガイ
misappropriation,乱用,ランヨウ
misappropriation,悪用,アクヨウ
misappropriation,着服,チャクフク
misappropriation,横領,オウリョウ
misbehavior,無作法,ブサホウ
misbehaviour,無作法,ブサホウ
miscalculation,計算違い,ケイサンチガイ
miscalculation,見込み違い,ミコミチガイ
miscarriage,失敗,シッパイ
miscarriage,不首尾,フシュビ
miscarriage,失策,シッサク
miscarriage,配達違い,ハイタツチガイ
miscarriage,不着,フチャク
miscarriage,流産,リュウザン
miscarry,〈人,〈ヒト
miscegenation,混交,コンコウ
miscegenation,混血,コンケツ
miscellany,寄せ集め,ヨセアツメ
miscellany,ごたまぜ,ゴタマゼ
miscellany,文集,ブンシュウ
miscellany,論集,ロンシュウ
miscellany,雑録,ザツロク
mischance,不運,フウン
mischance,災難,サイナン
mischief,いたずら,イタズラ
mischief,いたずら心,イタズラシン
mischief,茶目っ気,チャメッケ
mischief,害,ガイ
mischief,危害,キガイ
mischief,損害,ソンガイ
mischief,いたずらっ子,イタズラッコ
miscibility,混和性,コンワセイ
misconception,誤解,ゴカイ
misconception,誤認,ゴニン
misconception,思い違い,オモイチガイ
misconstruction,誤解,ゴカイ
miscreant,悪漢,アッカン
miscreant,悪党,アクトウ
miscue,誤り,アヤマリ
misdate,〈手紙,〈テガミ
misdeed,悪行,アクギョウ
misdeed,悪事,アクジ
misdemeanor,軽犯罪,ケイハンザイ
misdemeanor,非行,ヒコウ
misdemeanor,不品行,フヒンコウ
misdemeanour,軽犯罪,ケイハンザイ
misdemeanour,非行,ヒコウ
misdemeanour,不品行,フヒンコウ
misdirection,見当違い,ケントウチガイ
misdoing,非行,ヒコウ
misdoing,悪行,アクギョウ
miser,欲ばり,ヨクバリ
miser,けちん坊,ケチンボウ
miser,守銭奴,シュセンド
misery,貧困,ヒンコン
misery,困窮,コンキュウ
misfeasance,不法行為,フホウコウイ
misfire,不発,フハツ
misfire,不点火,フテンカ
misfire,失敗,シッパイ
misfit,不適格者,フテキカクシャ
misfortune,不運,フウン
misfortune,災難,サイナン
misgiving,恐れ,オソレ
misgiving,疑い,ウタガイ
misgiving,懸念,ケネン
misgovernment,悪政,アクセイ
misgovernment,失政,シッセイ
mishap,不運,フウン
mishap,災難,サイナン
mishmash,寄せ集め,ヨセアツメ
mishmash,ごたまぜ,ゴタマゼ
misinterpretation,誤解,ゴカイ
misinterpretation,誤訳,ゴヤク
misled,過去分詞,カコブンシ
misogamy,結婚ぎらい,ケッコンぎらい
misogynist,女ぎらいの人,ジョぎらいのジン
misogyny,女ぎらい,ジョぎらい
misprint,ミスプリント,ミスプリント
misprint,誤植,ゴショク
miss,失敗,シッパイ
miss,回避,カイヒ
missal,ミサ典書,ミサテンショ
missal,祈祷書,キトウショ
missile,ミサイル,ミサイル
missile,ロケット弾,ロケットダン
missile,飛び道具,トビドウグ
missilery,ミサイル工学,ミサイルコウガク
missilery,誘導弾学,ユウドウダンガク
mission,使節団,シセツダン
mission,隊,タイ
mission,団,ダン
mission,任務,ニンム
mission,使命,シメイ
mission,在外公館,ザイガイコウカン
mission,牧師団,ボクシダン
mission,布教団,フキョウダン
mission,伝道所,デンドウショ
mission,伝道事業,デンドウジギョウ
mission,使命,シメイ
missionary,使節,シセツ
missionary,宣教師,センキョウシ
missionary,伝道師,デンドウシ
Mississippi,ミシシッピ州,ミシシッピシュウ
Mississippi,ミシシッピ川,ミシシッピガワ
Mississippian,ミシシッピ紀,ミシシッピオサム
missive,信書,シンショ
missive,書状,ショジョウ
missive,公文書,コウブンショ
Missouri,ミズーリ州,ミズーリシュウ
Missouri,ミズーリ川,ミズーリガワ
misstep,誤り,アヤマリ
misstep,過失,カシツ
missus,家内,カナイ
missus,かみさん,カミサン
missus,女中頭,ジョチュウアタマ
missy,お嬢さん,オジョウサン
mistiness,おぼろげ,オボロゲ
mistletoe,ヤドリギ,ヤドリギ
mistral,ミストラル,ミストラル
mistreatment,虐待,ギャクタイ
mistrial,無評決審理,ムヒョウケツシンリ
misunderstood,過去分詞,カコブンシ
mite,ダニ,ダニ
mite,ごく少量,ゴクショウリョウ
mite,ごく少額,ゴクショウガク
mite,小動物,ショウドウブツ
mite,小銭,コゼニ
mitigate,〈苦痛,〈クツウ
mitosis,有糸分裂,ユウイトブンレツ
mix,混合,コンゴウ
mix,混合物,コンゴウブツ
mix,素,モト
mix,ミックス,ミックス
mix-up,混乱,コンラン
mix-up,混乱状態,コンランジョウタイ
mixture,茶合,チャゴウ
mixture,混合薬,コンゴウヤク
mizzenmast,第3マスト,ダイ3マスト
mizzenmast,後檣,コウ檣
mnemonics,記憶術,キオクジュツ
moa,モア,モア
mobile,モビール,モビール
mobile,自動車,ジドウシャ
mobility,可動性,カドウセイ
mobility,流動性,リュウドウセイ
mobility,機動力,キドウリョク
mobilization,動員,ドウイン
mobilization,運用,ウンヨウ
mobilization,流通,リュウツウ
mobilisation,動員,ドウイン
mobilisation,運用,ウンヨウ
mobilisation,流通,リュウツウ
mobilize,〈軍隊,〈グンタイ
mobilise,〈軍隊,〈グンタイ
mock,〈人,〈ヒト
mocker,モノマネドリ,モノマネドリ
mockery,茶番,チャバン
mockingbird,マネシツグミ,マネシツグミ
modcon,最新設備完備,サイシンセツビカンビ
mode,方法,ホウホウ
mode,やり方,ヤリカタ
mode,流儀,リュウギ
mode,流行,リュウコウ
mode,モード,モード
mode,法,ホウ
mode,叙法,ジョホウ
mode,音階,オンカイ
moderation,温和,オンワ
moderation,中庸,チュウヨウ
moderator,仲裁者,チュウサイシャ
moderator,調停者,チョウテイシャ
moderator,司会者,シカイシャ
moderator,調整器,チョウセイキ
modern,現代人,ゲンダイジン
modernism,現代語法,ゲンダイゴホウ
modernism,現代芸術,ゲンダイゲイジュツ
modernism,現代哲学,ゲンダイテツガク
modernist,現代主義者,ゲンダイシュギシャ
modernist,現代替美者,ゲンダイタイビシャ
modernist,モダニスト,モダニスト
modernity,現代主義,ゲンダイシュギ
modernity,現代性,ゲンダイセイ
modernization,現代化,ゲンダイカ
modernisation,現代化,ゲンダイカ
modesty,謙そん,ケンソン
modesty,質素,シッソ
modification,修飾,シュウショク
modifier,修飾語,シュウショクゴ
modulation,調節,チョウセツ
modulation,調整,チョウセイ
modulation,変調,ヘンチョウ
modulation,転調,テンチョウ
modulation,変調,ヘンチョウ
module,測定基準,ソクテイキジュン
module,基準単位,キジュンタンイ
module,モジュール,モジュール
moggy,猫,ネコ
mohair,モヘア,モヘア
Mohawk,モホーク族,モホークゾク
Mohawk,モホーク語,モホークゴ
Mohawk,モヒカン刈り,モヒカンガリ
Mohegan,モヒガン族,モヒガンゾク
moiety,半分,ハンブン
moire,波紋模様,ハモンモヨウ
moisture,湿気,シッケ
moisture,蒸気,ジョウキ
moisture,水分,スイブン
moke,ろば,ロバ
molar,臼歯,キュウシ
molasses,糖みつ,トウミツ
molasses,糖液,トウエキ
molasses,糖蜜,トウミツ
molasses,糖液,トウエキ
mold,沃土,ヨクド
mold,肥土,ヒド
mold,耕土,コウド
mould,沃土,ヨクド
mould,肥土,ヒド
mould,耕土,コウド
mold,糸状菌,イトジョウキン
mould,糸状菌,イトジョウキン
moldboard,すき板,スキイタ
moldboard,ブレード,ブレード
moldiness,時代遅れ,ジダイオクレ
mouldiness,時代遅れ,ジダイオクレ
molding,塑像,ソゾウ
molding,鋳造物,チュウゾウブツ
moulding,塑像,ソゾウ
moulding,鋳造物,チュウゾウブツ
mole,モグラ,モグラ
mole,ほくろ,ホクロ
mole,あざ,アザ
mole,防波堤,ボウハテイ
mole,突堤,トッテイ
mole,モル,モル
mole,グラム分子,グラムブンシ
molehill,モグラ塚,モグラツカ
moleskin,モールスキン,モールスキン
Molière,モリエール,モリエール
moll,情婦,ジョウフ
mollification,鎮静,チンセイ
mollify,〈人,〈ヒト
mollify,怒り,イカリ
mollusk,軟体動物,ナンタイドウブツ
mollusc,軟体動物,ナンタイドウブツ
molt,〈鳥,〈トリ
molt,〈昆虫,〈コンチュウ
molt,〈羽毛,〈ウモウ
molt,毛,モウ
molt,外皮,ガイヒ
molt,脱皮,ダッピ
moult,〈鳥,〈トリ
moult,〈昆虫,〈コンチュウ
moult,〈羽毛,〈ウモウ
moult,毛,モウ
moult,外皮,ガイヒ
moult,脱皮,ダッピ
molybdenum,モリブデン,モリブデン
moment,瞬間,シュンカン
moment,瞬時,シュンジ
moment,時期,ジキ
moment,機会,キカイ
moment,場合,バアイ
moment,今,イマ
moment,現在,ゲンザイ
moment,モーメント,モーメント
moment,運動率,ウンドウリツ
momentarily,瞬時,シュンジ
momentarily,今にも,イマニモ
momentum,運動量,ウンドウリョウ
momentum,勢い,イキオイ
Monaco,モナコ,モナコ
monarch,君主,クンシュ
monarch,帝王,テイオウ
monarch,オオカバマダラ,オオカバマダラ
monarchism,君主制,クンシュセイ
monarchism,君主制主義,クンシュセイシュギ
monarchist,君主制主義者,クンシュセイシュギシャ
monarchy,君主政体,クンシュセイタイ
monarchy,君主国,クンシュコク
monastery,男子修道院,ダンシシュウドウイン
monastery,修道僧,シュウドウソウ
monastic,修道士,シュウドウシ
monasticism,修道院生活,シュウドウインセイカツ
monasticism,禁欲生活,キンヨクセイカツ
Monday,月曜日,ゲツヨウビ
monetarism,通貨主義,ツウカシュギ
money,金,キム
money,金銭,キンセン
money,通貨,ツウカ
money,利益,リエキ
money,もうけ,モウケ
money,富,トミ
money,財産,ザイサン
money,財源,ザイゲン
money,基金,キキン
moneybag,金袋,キンブクロ
moneybag,金持ち,カネモチ
moneychanger,両替屋,リョウガエヤ
moneychanger,両替機,リョウガエキ
moneygrubber,守銭奴,シュセンド
moneylender,金貸し,カネカシ
moneymaking,金もうけ,カネモウケ
Mongol,モンゴル人,モンゴルジン
Mongol,モンゴル語,モンゴルゴ
Mongolia,モンゴリア,モンゴリア
Mongolian,モンゴル人,モンゴルジン
Mongolian,モンゴル語,モンゴルゴ
Mongolian,モンゴル人,モンゴルジン
Mongolism,モンゴリズム,モンゴリズム
Mongoloid,モンゴル人種,モンゴルジンシュ
mongoose,マングース,マングース
mongrel,雑種犬,ザッシュケン
mongrel,混血児,コンケツジ
mongrel,雑種,ザッシュ
monism,一元論,イチゲンロン
monition,訓戒,クンカイ
monition,警告,ケイコク
monition,出頭命令,シュットウメイレイ
monition,召喚,ショウカン
monitor,訓戒者,クンカイシャ
monitor,勧告者,カンコクシャ
monitor,監視役,カンシヤク
monitor,学級委員,ガッキュウイイン
monitor,級長,キュウチョウ
monitor,風紀委員,フウキイイン
monitor,監視装置:外国放送受信係,カンシソウチ:ガイコクホウソウジュシンガカリ
monitor,モニター,モニター
monitor,大トカゲ,ダイトカゲ
monk,修道僧,シュウドウソウ
monk,僧侶,ソウリョ
monk,修道士,シュウドウシ
monk,道士,ドウシ
monk,サル,サル
monkey,さる,サル
monkey,いたずら小僧,イタズラコゾウ
monkey,500ポンド,500ポンド
monkey,500ドル,500ドル
monkeyshine,悪ふざけ,ワルフザケ
monkeyshine,いたずら,イタズラ
monochrome,単色画,タンショクガ
monochrome,単色画法,タンショクガホウ
monocle,単眼鏡,タンガンキョウ
monocle,片めがね,カタメガネ
monocotyledon,単子葉植物,タンシヨウショクブツ
monody,哀悼詩,アイトウシ
monody,独唱歌,ドクショウカ
monogamist,一夫一婦主義者,イップイップシュギシャ
monogamy,一夫一婦,イップイップ
monogram,組み合わせ文字,クミアワセモジ
monograph,専攻論文,センコウロンブン
monolith,一枚石,イチマイセキ
monologue,独白,ドクハク
monologue,一人芝居,イチニンシバイ
monologue,長談義,ナガダンギ
monolog,独白,ドクハク
monolog,一人芝居,イチニンシバイ
monolog,長談義,ナガダンギ
monomania,偏執,ヘンシュウ
monomania,偏執狂,ヘンシュウキョウ
monomaniac,偏執狂,ヘンシュウキョウ
monomer,単量体,タンリョウタイ
monomial,単項式,タンコウシキ
mononucleosis,単核症,タンカクショウ
monophthong,単母音,タンボイン
monoplane,単葉飛行機,タンヨウヒコウキ
monopolist,独占者,ドクセンシャ
monopolist,専売者,センバイシャ
monopolization,独占,ドクセン
monopolization,専売,センバイ
monopolisation,独占,ドクセン
monopolisation,専売,センバイ
monopoly,独占,ドクセン
monopoly,専売,センバイ
monopoly,独占,ドクセン
monopoly,占有,センユウ
monopoly,独占権,ドクセンケン
monopoly,専売権,センバイケン
monopoly,独占企業,ドクセンキギョウ
monopoly,専売会社,センバイカイシャ
monopoly,専売品,センバイヒン
monopoly,専売業,センバイギョウ
monopoly,独占事業,ドクセンジギョウ
monorail,モノレール,モノレール
monosyllable,単音節語,タンオンセツゴ
monotheism,一神教,イッシンキョウ
monotheist,一神論者,イチカミロンシャ
monotheist,一神教信者,イッシンキョウシンジャ
monotone,単調音,タンチョウオン
monotone,単調,タンチョウ
monotone,一本調子,イッポンヂョウシ
monotony,単調,タンチョウ
monotony,一本調子,イッポンヂョウシ
monotype,モノタイプ,モノタイプ
monotype,モノタイプ印刷方式,モノタイプインサツホウシキ
monoxide,一酸化物,イッサンカブツ
Monroe,モンロー,モンロー
Monseigneur,殿下,デンカ
Monseigneur,閣下,カッカ
Monsignor,モンシニョール,モンシニョール
monsoon,モンスーン,モンスーン
monsoon,季節風,キセツフウ
monsoon,雨期,ウキ
monster,怪物,カイブツ
monster,化け物,バケモノ
monster,怪物,カイブツ
monster,奇形,キケイ
monster,人非人,ニンピニン
monstrance,聖体顕示台,セイタイケンジダイ
montage,モンタージュ写真,モンタージュシャシン
montage,合成写真,ゴウセイシャシン
montage,合成画,ゴウセイガ
Montana,モンタナ州,モンタナシュウ
Montevideo,モンテビデオ,モンテビデオ
Montgomery,モントゴメリー,モントゴメリー
month,月,ツキ
month,ひと月,ヒトツキ
month,1か月間,1カゲツカン
month,ひと月,ヒトツキ
monthly,月ぎめの,ツキぎめの
monthly,月1回,ツキ1カイ
monthly,毎月,マイツキ
monthly,月刊雑誌,ゲッカンザッシ
Montpelier,モントピーリア,モントピーリア
Montreal,モントリオール,モントリオール
monument,記念碑,キネンヒ
monument,記念像,キネンゾウ
monument,記念建造物,キネンケンゾウブツ
monument,墓碑,ボヒ
monument,標識,ヒョウシキ
monument,遺物,イブツ
monument,遺跡,イセキ
monument,景勝地,ケイショウチ
monument,金字塔,キンジトウ
moo,モー,モー
mooch,〈金,〈キム
moocow,モーモー,モーモー
mood,気分,キブン
mood,機嫌,キゲン
mood,雰囲気,フンイキ
mood,ムード,ムード
mood,風潮,フウチョウ
mood,むら気,ムラギ
mood,ふきげん,フキゲン
mood,法,ホウ
mood,叙法,ジョホウ
moodiness,不機嫌,フキゲン
moon,月,ツキ
moon,月,ツキ
moon,衛星,エイセイ
moon,ひと月,ヒトツキ
moon,月光,ゲッコウ
moonbeam,月光,ゲッコウ
mooncalf,怪物,カイブツ
mooncalf,精神薄弱者,セイシンハクジャクシャ
mooncalf,白痴,ハクチ
moonlight,月光,ゲッコウ
moonlight,月明かり,ツキアカリ
moonscape,月面写真,ゲツメンシャシン
moonshine,月光,ゲッコウ
moonshine,たわごと,タワゴト
moonshine,密造酒,ミツゾウシュ
moonstone,月長石,ツキチョウセキ
moonwalk,月面歩行,ゲツメンホコウ
Moor,ムーア人,ムーアジン
moorland,荒野,アラノ
moose,アメリカヘラジカ,アメリカヘラジカ
mop-up,残敵掃討,ザンテキソウトウ
mop-up,締めくくり,シメククリ
mop-up,総仕上げ,ソウシアゲ
mope,意気消沈,イキショウチン
mope,憂うつ,ユウウツ
moped,モペット,モペット
moppet,子供,コドモ
moquette,モケット,モケット
moraine,氷堆石,コオリタイセキ
moral,教訓,キョウクン
moral,寓意,グウイ
moral,モラル,モラル
moral,風儀,フウギ
moral,素行,ソコウ
morale,士気,シキ
morale,風紀,フウキ
moralist,道学者,ドウガクシャ
moralist,道徳家,ドウトクカ
morality,道徳,ドウトク
morality,倫理,リンリ
morality,道徳学,ドウトクガク
morality,倫理学,リンリガク
morality,道徳性,ドウトクセイ
morality,品行,ヒンコウ
morality,教訓,キョウクン
morality,寓意,グウイ
morally,正しく,マサシク
morally,道徳上,ドウトクジョウ
morally,事実上,ジジツジョウ
morally,ほとんど,ホトンド
morass,沼地,ヌマチ
morass,難局,ナンキョク
moratorium,支払い猶予令,シハライユウヨレイ
moratorium,支払い猶予期間,シハライユウヨキカン
moratorium,一時停止,イチジテイシ
morbidity,不健全,フケンゼン
morbidity,疾病率,シッペイリツ
mordant,媒染剤,バイセンザイ
mordant,色止め料,イロトメリョウ
mordant,金属腐食剤,キンゾクフショクザイ
moreover,そのうえ,ソノウエ
mores,慣習,カンシュウ
mores,しきたり,シキタリ
morgue,死体公示所,シタイコウジショ
morgue,参考資料室,サンコウシリョウシツ
