-ford,浅瀬,アサセ
aggrandizement,増大,ゾウダイ
aggrandizement,強化,キョウカ
aggrandizement,昇進,ショウシン
aggravation,悪化,アッカ
aggregation,集合,シュウゴウ
aggregation,集合体,シュウゴウタイ
aggregation,集団,シュウダン
aggression,侵略,シンリャク
aggression,攻撃,コウゲキ
aggression,侵害,シンガイ
aggressor,侵略者,シンリャクシャ
aging,熟成,ジュクセイ
agitation,動揺,ドウヨウ
agitation,扇動,センドウ
agitation,アジ,アジ
agitator,扇動家,センドウカ
agitator,撹拌器,コウハンキ
agnostic,不可知論者,フカチロンシャ
agnosticism,不可知論,フカチロン
agony,苦悶,クモン
agony,苦痛,クツウ
agony,激発,ゲキハツ
agony,突発,トッパツ
agora,市民集会,シミンシュウカイ
agora,集会場,シュウカイジョウ
agora,広場,ヒロバ
agora,市場,シジョウ
agoraphobia,広場恐怖症,ヒロバキョウフショウ
agreement,一致,イッチ
agreement,調和,チョウワ
agreement,同意,ドウイ
agreement,協定,キョウテイ
agreement,協約,キョウヤク
agreement,一致,イッチ
agribusiness,農業関連産業,ノウギョウカンレンサンギョウ
agriculturalist,農業経営者,ノウギョウケイエイシャ
agriculturalist,農業専門家,ノウギョウセンモンカ
agriculture,農業,ノウギョウ
agriculture,農学,ノウガク
agronomist,農学者,ノウガクシャ
agronomy,作物学,サクモツガク
agronomy,農学,ノウガク
ague,マラリア熱,マラリアネツ
ague,悪寒,オカン
aide,副官,フッカン
aide,補佐官,ホサカン
aide,助手,ジョシュ
aide-de-camp,副官,フッカン
ailanthus,ニワウルシ,ニワウルシ
aileron,補助翼,ホジョツバサ
ailment,病気,ビョウキ
aim,〈銃,〈ジュウ
aim,矢,ヤ
aim,照準,ショウジュン
aim,目的,モクテキ
aim,意図,イト
air-condition,〈建物,〈タテモノ
air-conditioning,空気調節,クウキチョウセツ
air-conditioning,冷暖房,レイダンボウ
air-cooling,空冷式,クウレイシキ
airbag,エアバッグ,エアバッグ
airbase,空軍基地,クウグンキチ
airbed,空気ベッド,クウキベッド
airbladder,気泡,キホウ
airbladder,浮き袋,ウキブクロ
airbrake,エアブレーキ,エアブレーキ
airbrake,空気制動機,クウキセイドウキ
airbrick,有孔れんが,ユウアナレンガ
airbrush,エアブラシ,エアブラシ
airbus,エアバス,エアバス
aircraft,航空機,コウクウキ
aircraftman,航空兵,コウクウヘイ
aircraftman,航空機整備員,コウクウキセイビイン
aircrew,航空機乗組員,コウクウキノリクミイン
aircushion,空気座ぶとん,クウキザブトン
aircushion,空気ばね,クウキバネ
aircushion,噴射気流,フンシャキリュウ
Airedale,エアデールテリア,エアデールテリア
airfield,小飛行場,ショウヒコウジョウ
airfield,飛行場,ヒコウジョウ
airfield,滑走路,カッソウロ
airflow,気流,キリュウ
airfoil,翼形,ツバサガタ
airfoil,翼,ツバサ
airframe,機体,キタイ
airfreight,空輸貨物,クウユカモツ
airfreight,貨物空輸,カモツクウユ
airhostess,スチュワーデス,スチュワーデス
airing,虫干し,ムシボシ
airing,外出,ガイシュツ
airing,散歩,サンポ
airing,公開,コウカイ
airing,周知,シュウチ
airlift,空輸,クウユ
airlift,人員,ジンイン
airlift,物資,ブッシ
airline,航空路,コウクウロ
airliner,定期旅客機,テイキリョカクキ
airlock,エアロック,エアロック
airlock,気閘,キ閘
airlock,気密室,キミツシツ
airman,飛行家,ヒコウカ
airman,飛行士,ヒコウシ
airman,航空兵,コウクウヘイ
airplane,飛行機,ヒコウキ
airport,空港,クウコウ
airshaft,通風孔,ツウフウアナ
airship,飛行船,ヒコウセン
airsickness,飛行機酔い,ヒコウキヨイ
airsickness,航空病,コウクウビョウ
airspace,空積,ソラセキ
airspace,領空,リョウクウ
airspeed,対空速度,タイクウソクド
airspeed,対気速度,タイキソクド
airstrip,滑走路,カッソウロ
airwaves,放送機関,ホウソウキカン
airway,航空路,コウクウロ
airway,通風路,ツウフウロ
airway,航空会社,コウクウカイシャ
airwoman,女流飛行家,ジョリュウヒコウカ
aitchbone,しり骨,シリボネ
aitchbone,しり肉,シリニク
Alabama,アラバマ州,アラバマシュウ
alabaster,雪花石膏,ユキハナセッコウ
alacrity,敏活,ビンカツ
alacrity,機敏,キビン
Alamo,アラモ,アラモ
alas,あわれ,アワレ
Alaska,アラスカ州,アラスカシュウ
Alaskan,アラスカ人,アラスカジン
alb,アルバ,アルバ
Albania,アルバニア,アルバニア
Albanian,アルバニア人,アルバニアジン
Albanian,アルバニア語,アルバニアゴ
Albany,オルバニー,オルバニー
albatross,アホウドリ,アホウドリ
albino,白子,シラコ
albino,白変種,シロヘンシュ
Albion,アルビオン,アルビオン
album,アルバム,アルバム
album,組レコード,クミレコード
album,アルバム,アルバム
album,画帳,ガチョウ
albumin,アルブミン,アルブミン
alcazar,城,シロ
alcazar,要塞,ヨウサイ
alcazar,アルカザール宮,アルカザールミヤ
alchemist,錬金術師,レンキンジュツシ
alchemy,錬金術,レンキンジュツ
alcohol,アルコール,アルコール
alcohol,酒精,シュセイ
alcohol,アルコール飲料,アルコールインリョウ
alcohol,酒,サケ
alcoholic,アルコール中毒者,アルコールチュウドクシャ
alcoholism,アルコール中毒,アルコールチュウドク
alcoholism,アルコール中毒症,アルコールチュウドクショウ
alcove,小部屋,ショウヘヤ
aldehyde,アルデヒド,アルデヒド
alder,ハンノキ,ハンノキ
alderman,市参事会員,シサンジカイイン
alderman,市助役,シジョヤク
alderman,市会議員,シカイギイン
ale,エール,エール
alembic,ランビキ,ランビキ
Aleut,アリューシャン列島住民,アリューシャンレットウジュウミン
Aleut,アリュート語,アリュートゴ
Alexandria,アレキサンドリア,アレキサンドリア
alexia,失読症,シツ読症
alfalfa,ムラサキウマゴヤシ,ムラサキウマゴヤシ
alga,藻,モ
alga,藻類,ソウルイ
algae,藻類,ソウルイ
algebra,代数,ダイスウ
algebraist,代数学者,ダイスウガクシャ
Algeria,アルジェリア,アルジェリア
Algerian,アルジェリア人,アルジェリアジン
Algiers,アルジェ,アルジェ
Algonquian,アルゴンキン語族,アルゴンキンゴゾク
Algonquian,アルゴンキン族,アルゴンキンゾク
algorithm,アルゴリズム,アルゴリズム
Alhambra,アルハンブラ宮殿,アルハンブラキュウデン
alias,別名,ベツメイ
alias,通称,ツウショウ
alibi,アリバイ,アリバイ
alibi,現場不在証明,ゲンバフザイショウメイ
alibi,いいわけ,イイワケ
alibi,口実,コウジツ
alien,外国人,ガイコクジン
alien,在留外国人,ザイリュウガイコクジン
alien,外国人,ガイコクジン
alienation,疎遠,ソエン
alienation,疎外,ソガイ
alienist,精神病医,セイシンビョウイ
alignment,整列,セイレツ
alignment,提携,テイケイ
alignment,連合,レンゴウ
alinement,整列,セイレツ
alinement,提携,テイケイ
alinement,連合,レンゴウ
aliment,食物,ショクモツ
aliment,滋養物,ジヨウブツ
aliment,扶養,フヨウ
aliment,扶養料,フヨウリョウ
alimony,離婚手当,リコンテアテ
alimony,別居手当,ベッキョテアテ
alit,過去分詞,カコブンシ
alizarin,アリザリン,アリザリン
alkali,アルカリ,アルカリ
alkali,塩基,エンキ
alkaloid,アルカロイド,アルカロイド
all-American,全米代表選手,ゼンベイダイヒョウセンシュ
Allah,アラー神,アラーシン
allegation,主張,シュチョウ
allegation,申し立て,モウシタテ
alleger,申立て人,サルダテジン
alleger,陳述者,チンジュツシャ
allegiance,忠誠,チュウセイ
allegiance,忠節,チュウセツ
allegiance,献身,ケンシン
allegory,寓意,グウイ
allegory,寓意物語,グウイモノガタリ
allegory,たとえ話,タトエハナシ
allegretto,アレグレット,アレグレット
allegro,アレグロ,アレグロ
allele,対立遺伝子,タイリツイデンシ
allergist,アレルギー性疾患専門医,アレルギーセイシッカンセンモンイ
allergy,アレルギー,アレルギー
alleviation,軽減,ケイゲン
